β	Permutation_Entropy	Pattern_Probabilities
2.115	0.9726619673590378	0.09045226130653267,0.09045226130653267,0.11155778894472362,0.04321608040201005,0.10653266331658291,0.05628140703517588,0.04321608040201005,0.04321608040201005,0.08944723618090453,0.06432160804020101,0.05125628140703518,0.044221105527638194,0.04723618090452261,0.03919597989949749,0.04321608040201005,0.036180904522613064
2.115	0.9709238813012355	0.11758793969849246,0.0964824120603015,0.09949748743718594,0.044221105527638194,0.09045226130653267,0.04824120603015075,0.05226130653266332,0.04120603015075377,0.0964824120603015,0.04723618090452261,0.03919597989949749,0.04924623115577889,0.05226130653266332,0.04120603015075377,0.04120603015075377,0.04321608040201005
2.115	0.9605206456915155	0.11758793969849246,0.10452261306532663,0.10452261306532663,0.04824120603015075,0.10251256281407035,0.04623115577889447,0.04522613065326633,0.0371859296482412,0.10452261306532663,0.04824120603015075,0.044221105527638194,0.035175879396984924,0.05025125628140704,0.033165829145728645,0.0371859296482412,0.04120603015075377
2.115	0.9563458623276905	0.11155778894472362,0.11155778894472362,0.10854271356783919,0.04221105527638191,0.0964824120603015,0.0592964824120603,0.03919597989949749,0.04120603015075377,0.11155778894472362,0.03919597989949749,0.04723618090452261,0.03819095477386935,0.054271356783919596,0.02613065326633166,0.04020100502512563,0.033165829145728645
2.115	0.9715494188700294	0.0964824120603015,0.09447236180904522,0.10552763819095477,0.04824120603015075,0.10452261306532663,0.04221105527638191,0.04623115577889447,0.04824120603015075,0.09447236180904522,0.0592964824120603,0.04120603015075377,0.04723618090452261,0.04924623115577889,0.04522613065326633,0.04824120603015075,0.02914572864321608
2.115	0.9810946364756739	0.09246231155778895,0.0914572864321608,0.0964824120603015,0.04020100502512563,0.0814070351758794,0.07035175879396985,0.054271356783919596,0.04321608040201005,0.0914572864321608,0.044221105527638194,0.05527638190954774,0.05728643216080402,0.054271356783919596,0.04221105527638191,0.04321608040201005,0.04221105527638191
2.115	0.9633683424519173	0.1135678391959799,0.10452261306532663,0.10150753768844221,0.04924623115577889,0.09949748743718594,0.05125628140703518,0.04522613065326633,0.03919597989949749,0.10452261306532663,0.04723618090452261,0.04924623115577889,0.035175879396984924,0.05125628140703518,0.033165829145728645,0.03919597989949749,0.036180904522613064
2.115	0.96500420434241	0.09949748743718594,0.09045226130653267,0.11155778894472362,0.04723618090452261,0.10954773869346733,0.0592964824120603,0.044221105527638194,0.03919597989949749,0.09045226130653267,0.06834170854271357,0.05728643216080402,0.036180904522613064,0.04924623115577889,0.034170854271356785,0.03919597989949749,0.024120603015075376
2.115	0.9656446503491322	0.10050251256281408,0.09849246231155778,0.10954773869346733,0.04623115577889447,0.10251256281407035,0.04824120603015075,0.05125628140703518,0.04221105527638191,0.09849246231155778,0.05728643216080402,0.04120603015075377,0.04723618090452261,0.053266331658291456,0.04020100502512563,0.04221105527638191,0.021105527638190954
2.115	0.9662287588915055	0.08341708542713568,0.10552763819095477,0.1135678391959799,0.0371859296482412,0.10653266331658291,0.05628140703517588,0.03919597989949749,0.04221105527638191,0.10552763819095477,0.04522613065326633,0.05025125628140704,0.044221105527638194,0.044221105527638194,0.03819095477386935,0.04321608040201005,0.04522613065326633
2.115	0.9732519775155899	0.09849246231155778,0.09748743718592964,0.1035175879396985,0.04924623115577889,0.09547738693467336,0.04522613065326633,0.05025125628140704,0.04522613065326633,0.09748743718592964,0.054271356783919596,0.03819095477386935,0.04623115577889447,0.05628140703517588,0.03919597989949749,0.04522613065326633,0.03819095477386935
2.115	0.965246110129724	0.12060301507537688,0.10150753768844221,0.09547738693467336,0.054271356783919596,0.09949748743718594,0.04221105527638191,0.04120603015075377,0.044221105527638194,0.10050251256281408,0.04824120603015075,0.04623115577889447,0.032160804020100506,0.04924623115577889,0.036180904522613064,0.044221105527638194,0.044221105527638194
2.115	0.9899389012105192	0.09346733668341708,0.08442211055276382,0.07939698492462312,0.054271356783919596,0.0743718592964824,0.0592964824120603,0.061306532663316586,0.04824120603015075,0.08442211055276382,0.04924623115577889,0.054271356783919596,0.05628140703517588,0.05829145728643216,0.05125628140703518,0.04824120603015075,0.04321608040201005
2.115	0.9728061146229766	0.10452261306532663,0.09547738693467336,0.09547738693467336,0.04924623115577889,0.09246231155778895,0.06030150753768844,0.05628140703517588,0.03819095477386935,0.09547738693467336,0.04924623115577889,0.05829145728643216,0.04522613065326633,0.05226130653266332,0.04321608040201005,0.03819095477386935,0.02613065326633166
2.115	0.9741563519710486	0.09547738693467336,0.09748743718592964,0.0964824120603015,0.05628140703517588,0.09346733668341708,0.053266331658291456,0.0592964824120603,0.03819095477386935,0.09748743718592964,0.054271356783919596,0.05025125628140704,0.04120603015075377,0.05829145728643216,0.03919597989949749,0.03819095477386935,0.031155778894472363
2.115	0.9899663900231008	0.08040201005025126,0.09045226130653267,0.07939698492462312,0.05829145728643216,0.07336683417085427,0.04824120603015075,0.0592964824120603,0.05527638190954774,0.09045226130653267,0.04723618090452261,0.04321608040201005,0.05527638190954774,0.06432160804020101,0.05025125628140704,0.05527638190954774,0.04924623115577889
2.115	0.9631295398357818	0.12261306532663317,0.09346733668341708,0.10854271356783919,0.034170854271356785,0.1035175879396985,0.05829145728643216,0.04020100502512563,0.03919597989949749,0.09346733668341708,0.04924623115577889,0.05226130653266332,0.04522613065326633,0.03919597989949749,0.03919597989949749,0.03819095477386935,0.04321608040201005
2.115	0.9775794243224527	0.08040201005025126,0.0964824120603015,0.10552763819095477,0.04522613065326633,0.09447236180904522,0.05628140703517588,0.05025125628140704,0.044221105527638194,0.09748743718592964,0.053266331658291456,0.04522613065326633,0.04924623115577889,0.05628140703517588,0.03819095477386935,0.044221105527638194,0.04321608040201005
2.115	0.975900831218556	0.10552763819095477,0.08542713567839195,0.09949748743718594,0.04321608040201005,0.10251256281407035,0.054271356783919596,0.04623115577889447,0.04020100502512563,0.08542713567839195,0.05728643216080402,0.05728643216080402,0.04321608040201005,0.04020100502512563,0.04623115577889447,0.03919597989949749,0.054271356783919596
2.115	0.9813864049069143	0.10954773869346733,0.09246231155778895,0.08442211055276382,0.05025125628140704,0.0743718592964824,0.05527638190954774,0.05226130653266332,0.04723618090452261,0.09346733668341708,0.04221105527638191,0.04522613065326633,0.04924623115577889,0.061306532663316586,0.03919597989949749,0.04824120603015075,0.05527638190954774
2.115	0.9682002880767293	0.10050251256281408,0.10050251256281408,0.09547738693467336,0.06030150753768844,0.10251256281407035,0.04522613065326633,0.05125628140703518,0.04120603015075377,0.10150753768844221,0.05527638190954774,0.05226130653266332,0.032160804020100506,0.054271356783919596,0.03819095477386935,0.04120603015075377,0.02814070351758794
2.115	0.9753070509010948	0.09346733668341708,0.09246231155778895,0.0964824120603015,0.03919597989949749,0.08341708542713568,0.07939698492462312,0.05728643216080402,0.03819095477386935,0.09246231155778895,0.04321608040201005,0.06633165829145729,0.05628140703517588,0.05226130653266332,0.04321608040201005,0.03819095477386935,0.02814070351758794
2.115	0.9765665747471759	0.08442211055276382,0.09447236180904522,0.10552763819095477,0.044221105527638194,0.09447236180904522,0.06432160804020101,0.044221105527638194,0.04321608040201005,0.09447236180904522,0.05527638190954774,0.054271356783919596,0.04321608040201005,0.05527638190954774,0.033165829145728645,0.04321608040201005,0.04623115577889447
2.115	0.9685666998672505	0.08341708542713568,0.09949748743718594,0.10753768844221105,0.05025125628140704,0.10452261306532663,0.061306532663316586,0.04824120603015075,0.0371859296482412,0.10050251256281408,0.05728643216080402,0.05829145728643216,0.035175879396984924,0.053266331658291456,0.032160804020100506,0.0371859296482412,0.034170854271356785
2.115	0.9731254472657405	0.10251256281407035,0.10050251256281408,0.09849246231155778,0.04924623115577889,0.09447236180904522,0.04723618090452261,0.05226130653266332,0.04321608040201005,0.09949748743718594,0.04723618090452261,0.04321608040201005,0.04623115577889447,0.05226130653266332,0.04221105527638191,0.04321608040201005,0.03819095477386935
2.115	0.9702478437806175	0.09246231155778895,0.09748743718592964,0.11055276381909548,0.04723618090452261,0.09949748743718594,0.05125628140703518,0.04723618090452261,0.04120603015075377,0.09748743718592964,0.06030150753768844,0.04020100502512563,0.04120603015075377,0.05829145728643216,0.031155778894472363,0.04120603015075377,0.04321608040201005
2.115	0.9674605151686101	0.10653266331658291,0.09949748743718594,0.10251256281407035,0.03919597989949749,0.09547738693467336,0.06633165829145729,0.0371859296482412,0.04723618090452261,0.09849246231155778,0.04221105527638191,0.06030150753768844,0.04522613065326633,0.04522613065326633,0.03919597989949749,0.04723618090452261,0.02814070351758794
2.115	0.9532343795348492	0.12160804020100502,0.10552763819095477,0.11256281407035176,0.036180904522613064,0.1035175879396985,0.05628140703517588,0.04321608040201005,0.0371859296482412,0.10653266331658291,0.04321608040201005,0.04723618090452261,0.044221105527638194,0.04623115577889447,0.035175879396984924,0.0371859296482412,0.024120603015075376
2.115	0.9598355763377862	0.12060301507537688,0.09849246231155778,0.10854271356783919,0.04824120603015075,0.10452261306532663,0.04120603015075377,0.05125628140703518,0.0371859296482412,0.09748743718592964,0.0592964824120603,0.0371859296482412,0.04020100502512563,0.05226130653266332,0.036180904522613064,0.0371859296482412,0.03015075376884422
2.115	0.9677385124928245	0.09748743718592964,0.0914572864321608,0.1135678391959799,0.04723618090452261,0.10954773869346733,0.04522613065326633,0.044221105527638194,0.04020100502512563,0.0914572864321608,0.06934673366834171,0.04120603015075377,0.03819095477386935,0.05125628140703518,0.034170854271356785,0.04020100502512563,0.04522613065326633
2.115	0.9615107557695776	0.09045226130653267,0.09748743718592964,0.11457286432160804,0.054271356783919596,0.1035175879396985,0.04824120603015075,0.05125628140703518,0.04120603015075377,0.09748743718592964,0.07135678391959799,0.0371859296482412,0.03819095477386935,0.06633165829145729,0.02613065326633166,0.04120603015075377,0.021105527638190954
2.115	0.9783709068952555	0.09849246231155778,0.0964824120603015,0.09547738693467336,0.04723618090452261,0.08442211055276382,0.05829145728643216,0.054271356783919596,0.04221105527638191,0.0964824120603015,0.04723618090452261,0.04723618090452261,0.04924623115577889,0.05829145728643216,0.03819095477386935,0.04221105527638191,0.044221105527638194
2.115	0.9812411737449802	0.07336683417085427,0.10150753768844221,0.0914572864321608,0.05628140703517588,0.08743718592964825,0.05025125628140704,0.05728643216080402,0.04924623115577889,0.10050251256281408,0.04623115577889447,0.04623115577889447,0.05025125628140704,0.06030150753768844,0.04623115577889447,0.04924623115577889,0.034170854271356785
2.115	0.9729820244278199	0.11155778894472362,0.09949748743718594,0.09346733668341708,0.04924623115577889,0.08743718592964825,0.05628140703517588,0.04824120603015075,0.04321608040201005,0.09949748743718594,0.04321608040201005,0.05025125628140704,0.04221105527638191,0.05527638190954774,0.036180904522613064,0.04321608040201005,0.04120603015075377
2.115	0.9744439654447117	0.0964824120603015,0.0964824120603015,0.1035175879396985,0.04623115577889447,0.09447236180904522,0.053266331658291456,0.04020100502512563,0.05125628140703518,0.0964824120603015,0.05226130653266332,0.044221105527638194,0.04522613065326633,0.054271356783919596,0.0371859296482412,0.05125628140703518,0.0371859296482412
2.115	0.9757021233176342	0.09547738693467336,0.10050251256281408,0.0914572864321608,0.061306532663316586,0.08341708542713568,0.04824120603015075,0.05527638190954774,0.04522613065326633,0.10050251256281408,0.05125628140703518,0.04020100502512563,0.03919597989949749,0.06834170854271357,0.031155778894472363,0.044221105527638194,0.044221105527638194
2.115	0.9886085662108332	0.0864321608040201,0.07738693467336684,0.09346733668341708,0.04723618090452261,0.08944723618090453,0.05226130653266332,0.053266331658291456,0.04723618090452261,0.07738693467336684,0.06331658291457286,0.04824120603015075,0.054271356783919596,0.05125628140703518,0.05025125628140704,0.04723618090452261,0.061306532663316586
2.115	0.9698809795718895	0.09447236180904522,0.0964824120603015,0.10653266331658291,0.04824120603015075,0.10452261306532663,0.05527638190954774,0.04824120603015075,0.03819095477386935,0.09748743718592964,0.05829145728643216,0.05226130653266332,0.03819095477386935,0.05125628140703518,0.035175879396984924,0.03819095477386935,0.0371859296482412
2.115	0.9598485350986258	0.11055276381909548,0.10251256281407035,0.10552763819095477,0.05125628140703518,0.11256281407035176,0.04120603015075377,0.04824120603015075,0.035175879396984924,0.10251256281407035,0.054271356783919596,0.04824120603015075,0.032160804020100506,0.044221105527638194,0.03919597989949749,0.035175879396984924,0.0371859296482412
2.115	0.9620514618140747	0.11457286432160804,0.1035175879396985,0.10251256281407035,0.04723618090452261,0.10452261306532663,0.04824120603015075,0.04321608040201005,0.04321608040201005,0.1035175879396985,0.04522613065326633,0.05025125628140704,0.03919597989949749,0.044221105527638194,0.04120603015075377,0.04221105527638191,0.027135678391959798
