μ	Permutation_Entropy	Pattern_Probabilities
1.8199990000000001	0.629850817745335	0.0,0.03015075376884422,0.15678391959798996,0.0,0.15577889447236182,0.25025125628140704,0.0,0.0,0.03015075376884422,0.12663316582914572,0.25025125628140704,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.617576521594337	0.0,0.022110552763819097,0.15477386934673368,0.0,0.15477386934673368,0.2562814070351759,0.0,0.0,0.022110552763819097,0.13266331658291458,0.25728643216080405,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.613688336917494	0.0,0.022110552763819097,0.1487437185929648,0.0,0.1487437185929648,0.2663316582914573,0.0,0.0,0.022110552763819097,0.12663316582914572,0.26532663316582916,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6120461410538716	0.0,0.024120603015075376,0.14271356783919598,0.0,0.14170854271356784,0.2743718592964824,0.0,0.0,0.024120603015075376,0.1185929648241206,0.2743718592964824,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6150995770671308	0.0,0.019095477386934675,0.15879396984924624,0.0,0.15879396984924624,0.2522613065326633,0.0,0.0,0.019095477386934675,0.13969849246231156,0.2522613065326633,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6236051793636087	0.0,0.02914572864321608,0.1487437185929648,0.0,0.1487437185929648,0.2623115577889447,0.0,0.0,0.02914572864321608,0.11959798994974874,0.2623115577889447,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6159872027818656	0.0,0.024120603015075376,0.14773869346733667,0.0,0.14773869346733667,0.2663316582914573,0.0,0.0,0.024120603015075376,0.12361809045226131,0.2663316582914573,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6195468378178369	0.0,0.02613065326633166,0.1487437185929648,0.0,0.1487437185929648,0.264321608040201,0.0,0.0,0.02613065326633166,0.12261306532663317,0.2633165829145729,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6163359805133791	0.0,0.022110552763819097,0.1527638190954774,0.0,0.1527638190954774,0.26030150753768844,0.0,0.0,0.022110552763819097,0.1306532663316583,0.2592964824120603,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6130528782043161	0.0,0.024120603015075376,0.14371859296482412,0.0,0.14371859296482412,0.2723618090452261,0.0,0.0,0.024120603015075376,0.11959798994974874,0.2723618090452261,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6316057920790294	0.0,0.02914572864321608,0.16180904522613065,0.0,0.1628140703517588,0.2422110552763819,0.0,0.0,0.02914572864321608,0.13266331658291458,0.2422110552763819,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6277029235441084	0.0,0.02914572864321608,0.15477386934673368,0.0,0.15577889447236182,0.2522613065326633,0.0,0.0,0.02914572864321608,0.12562814070351758,0.25326633165829143,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6246278667197998	0.0,0.027135678391959798,0.15577889447236182,0.0,0.15577889447236182,0.25326633165829143,0.0,0.0,0.02613065326633166,0.12864321608040202,0.25326633165829143,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6287664569512875	0.0,0.027135678391959798,0.16180904522613065,0.0,0.16180904522613065,0.24321608040201004,0.0,0.0,0.027135678391959798,0.13467336683417086,0.2442211055276382,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6182351979336757	0.0,0.023115577889447236,0.15376884422110554,0.0,0.15376884422110554,0.25829145728643216,0.0,0.0,0.023115577889447236,0.12964824120603016,0.25829145728643216,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6187617089718122	0.0,0.022110552763819097,0.15678391959798996,0.0,0.15678391959798996,0.25326633165829143,0.0,0.0,0.022110552763819097,0.13467336683417086,0.2542713567839196,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6207897499428522	0.0,0.02512562814070352,0.1527638190954774,0.0,0.1527638190954774,0.25829145728643216,0.0,0.0,0.02512562814070352,0.12763819095477386,0.25829145728643216,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6299008864862196	0.0,0.027135678391959798,0.16482412060301507,0.0,0.16381909547738693,0.24020100502512562,0.0,0.0,0.027135678391959798,0.13668341708542714,0.24020100502512562,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6226903431297941	0.0,0.02914572864321608,0.14773869346733667,0.0,0.14673366834170853,0.264321608040201,0.0,0.0,0.02914572864321608,0.1185929648241206,0.264321608040201,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6144249027286844	0.0,0.020100502512562814,0.15477386934673368,0.0,0.15477386934673368,0.25829145728643216,0.0,0.0,0.020100502512562814,0.13467336683417086,0.25728643216080405,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6175463618116301	0.0,0.024120603015075376,0.1487437185929648,0.0,0.1487437185929648,0.264321608040201,0.0,0.0,0.02512562814070352,0.12462311557788945,0.264321608040201,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6271155377705021	0.0,0.03015075376884422,0.1527638190954774,0.0,0.15175879396984926,0.25728643216080405,0.0,0.0,0.03015075376884422,0.12160804020100502,0.2562814070351759,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6282064832415444	0.0,0.03015075376884422,0.15376884422110554,0.0,0.15376884422110554,0.2542713567839196,0.0,0.0,0.03015075376884422,0.12361809045226131,0.2542713567839196,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6223432488478814	0.0,0.024120603015075376,0.1577889447236181,0.0,0.1577889447236181,0.25125628140703515,0.0,0.0,0.024120603015075376,0.13366834170854272,0.25125628140703515,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6228111096149361	0.0,0.02512562814070352,0.15577889447236182,0.0,0.15678391959798996,0.25326633165829143,0.0,0.0,0.02512562814070352,0.1306532663316583,0.25326633165829143,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6092308253260892	0.0,0.023115577889447236,0.1407035175879397,0.0,0.1407035175879397,0.27738693467336684,0.0,0.0,0.023115577889447236,0.11758793969849246,0.27738693467336684,0.0,0.0,0.0,0.0,0.0
