ρ	Permutation_Entropy	Pattern_Probabilities
28.24	0.9481096342951786	0.009045226130653266,0.05226130653266332,0.07839195979899498,0.0914572864321608,0.07738693467336684,0.032160804020100506,0.10050251256281408,0.06030150753768844,0.053266331658291456,0.11758793969849246,0.031155778894472363,0.06934673366834171,0.09246231155778895,0.06834170854271357,0.06030150753768844,0.006030150753768844
28.24	0.9570471360131162	0.01306532663316583,0.061306532663316586,0.07336683417085427,0.08844221105527639,0.07839195979899498,0.024120603015075376,0.10050251256281408,0.061306532663316586,0.061306532663316586,0.10050251256281408,0.02914572864321608,0.07336683417085427,0.08341708542713568,0.07839195979899498,0.061306532663316586,0.012060301507537688
28.24	0.9574379379519243	0.01306532663316583,0.06331658291457286,0.0743718592964824,0.08844221105527639,0.06834170854271357,0.034170854271356785,0.09949748743718594,0.061306532663316586,0.06331658291457286,0.10050251256281408,0.02814070351758794,0.07236180904522613,0.09547738693467336,0.06633165829145729,0.062311557788944726,0.009045226130653266
28.24	0.9602059806902402	0.01407035175879397,0.07135678391959799,0.07839195979899498,0.08542713567839195,0.07839195979899498,0.027135678391959798,0.09346733668341708,0.061306532663316586,0.07135678391959799,0.09346733668341708,0.027135678391959798,0.06934673366834171,0.0864321608040201,0.06934673366834171,0.061306532663316586,0.012060301507537688
28.24	0.9470472080415927	0.01407035175879397,0.0592964824120603,0.06532663316582915,0.09949748743718594,0.062311557788944726,0.020100502512562814,0.10552763819095477,0.06733668341708543,0.0592964824120603,0.10452261306532663,0.017085427135678392,0.07336683417085427,0.10251256281407035,0.07035175879396985,0.06733668341708543,0.012060301507537688
28.24	0.9538456041221269	0.016080402010050253,0.05628140703517588,0.07135678391959799,0.09346733668341708,0.07135678391959799,0.02512562814070352,0.10150753768844221,0.06432160804020101,0.05628140703517588,0.10854271356783919,0.02512562814070352,0.07236180904522613,0.09246231155778895,0.07236180904522613,0.06331658291457286,0.010050251256281407
28.24	0.9523293279441383	0.012060301507537688,0.06532663316582915,0.07939698492462312,0.09246231155778895,0.08241206030150754,0.021105527638190954,0.10251256281407035,0.05527638190954774,0.06532663316582915,0.10653266331658291,0.02512562814070352,0.06532663316582915,0.08944723618090453,0.06834170854271357,0.05527638190954774,0.01407035175879397
28.24	0.9610012782313594	0.016080402010050253,0.06030150753768844,0.07738693467336684,0.08743718592964825,0.07537688442211055,0.033165829145728645,0.09447236180904522,0.062311557788944726,0.06030150753768844,0.10452261306532663,0.031155778894472363,0.06934673366834171,0.08844221105527639,0.06733668341708543,0.062311557788944726,0.010050251256281407
28.24	0.9572165607759896	0.010050251256281407,0.06030150753768844,0.08341708542713568,0.08341708542713568,0.08341708542713568,0.03015075376884422,0.0914572864321608,0.062311557788944726,0.06030150753768844,0.10653266331658291,0.02914572864321608,0.07135678391959799,0.08341708542713568,0.07035175879396985,0.062311557788944726,0.012060301507537688
28.24	0.9502473240918597	0.01507537688442211,0.07236180904522613,0.05829145728643216,0.10150753768844221,0.0592964824120603,0.021105527638190954,0.10050251256281408,0.07035175879396985,0.07236180904522613,0.08743718592964825,0.022110552763819097,0.06934673366834171,0.10150753768844221,0.07035175879396985,0.07035175879396985,0.008040201005025126
