a	Permutation_Entropy	Pattern_Probabilities
0.2025	0.7366215173388774	0.0,0.1306532663316583,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.06633165829145729,0.11959798994974874,0.1306532663316583,0.05728643216080402,0.0,0.0,0.1849246231155779,0.0,0.1185929648241206,0.0
0.2025	0.7403102285321472	0.0,0.13668341708542714,0.005025125628140704,0.1829145728643216,0.005025125628140704,0.0,0.06733668341708543,0.11658291457286432,0.13668341708542714,0.05125628140703518,0.0,0.0,0.1829145728643216,0.0,0.11557788944723618,0.0
0.2025	0.7357250431693357	0.0,0.135678391959799,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.07035175879396985,0.11557788944723618,0.135678391959799,0.05226130653266332,0.0,0.0,0.1849246231155779,0.0,0.11457286432160804,0.0
0.2025	0.7347533063264163	0.0,0.13869346733668342,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07336683417085427,0.11155778894472362,0.13869346733668342,0.04924623115577889,0.0,0.0,0.1849246231155779,0.0,0.11155778894472362,0.0
0.2025	0.7336587461615789	0.0,0.1306532663316583,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.06633165829145729,0.11959798994974874,0.1306532663316583,0.05728643216080402,0.0,0.0,0.18592964824120603,0.0,0.11959798994974874,0.0
0.2025	0.7285245580814882	0.0,0.13969849246231156,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.07839195979899498,0.10954773869346733,0.13969849246231156,0.04824120603015075,0.0,0.0,0.18693467336683417,0.0,0.10854271356783919,0.0
0.2025	0.7367877995424262	0.0,0.14170854271356784,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.07336683417085427,0.11055276381909548,0.1407035175879397,0.04723618090452261,0.0,0.0,0.18391959798994975,0.0,0.11055276381909548,0.0
0.2025	0.7307872310014115	0.0,0.12864321608040202,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.06633165829145729,0.12060301507537688,0.12864321608040202,0.0592964824120603,0.0,0.0,0.18693467336683417,0.0,0.12060301507537688,0.0
0.2025	0.7335354140623267	0.0,0.13366834170854272,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07035175879396985,0.11557788944723618,0.13266331658291458,0.05527638190954774,0.0,0.0,0.18592964824120603,0.0,0.11557788944723618,0.0
0.2025	0.7329450880513106	0.0,0.135678391959799,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.07236180904522613,0.11457286432160804,0.135678391959799,0.05226130653266332,0.0,0.0,0.18592964824120603,0.0,0.1135678391959799,0.0
0.2025	0.7355521094916461	0.0,0.135678391959799,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07035175879396985,0.11457286432160804,0.135678391959799,0.05226130653266332,0.0,0.0,0.1849246231155779,0.0,0.11457286432160804,0.0
0.2025	0.7308538199186084	0.0,0.14170854271356784,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07839195979899498,0.10753768844221105,0.14170854271356784,0.04623115577889447,0.0,0.0,0.18592964824120603,0.0,0.10753768844221105,0.0
0.2025	0.7359008371254004	0.0,0.135678391959799,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.07135678391959799,0.11457286432160804,0.135678391959799,0.05226130653266332,0.0,0.0,0.1849246231155779,0.0,0.11457286432160804,0.0
0.2025	0.7329450880513106	0.0,0.135678391959799,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.07236180904522613,0.11457286432160804,0.135678391959799,0.05226130653266332,0.0,0.0,0.18592964824120603,0.0,0.1135678391959799,0.0
0.2025	0.7306031986296803	0.0,0.13266331658291458,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.07236180904522613,0.11557788944723618,0.13266331658291458,0.05527638190954774,0.0,0.0,0.18693467336683417,0.0,0.11557788944723618,0.0
0.2025	0.7356428430273206	0.0,0.14371859296482412,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.07537688442211055,0.10854271356783919,0.14371859296482412,0.044221105527638194,0.0,0.0,0.18391959798994975,0.0,0.10854271356783919,0.0
